Department,Date,Deaths
CUSCO,2020-06-19,2
HUANUCO,2020-06-19,6
ICA,2020-06-19,16
JUNIN,2020-06-19,1
LA LIBERTAD,2020-06-19,35
LAMBAYEQUE,2020-06-19,20
LIMA,2020-06-19,103
LORETO,2020-06-19,6
MADRE DE DIOS,2020-06-19,1
PIURA,2020-06-19,36
PUNO,2020-06-19,2
SAN MARTIN,2020-06-19,12
TACNA,2020-06-19,1
TUMBES,2020-06-19,5
UCAYALI,2020-06-19,4
AMAZONAS,2020-06-20,2
ANCASH,2020-06-20,12
APURIMAC,2020-06-20,1
AREQUIPA,2020-06-20,7
AYACUCHO,2020-06-20,1
CAJAMARCA,2020-06-20,4
CALLAO,2020-06-20,14
HUANUCO,2020-06-20,3
ICA,2020-06-20,30
JUNIN,2020-06-20,1
LA LIBERTAD,2020-06-20,33
LAMBAYEQUE,2020-06-20,16
LIMA,2020-06-20,105
LORETO,2020-06-20,4
MADRE DE DIOS,2020-06-20,4
MOQUEGUA,2020-06-20,1
PASCO,2020-06-20,3
PIURA,2020-06-20,24
SAN MARTIN,2020-06-20,21
TUMBES,2020-06-20,2
UCAYALI,2020-06-20,2
AMAZONAS,2020-06-21,5
ANCASH,2020-06-21,11
APURIMAC,2020-06-21,2
AREQUIPA,2020-06-21,13
AYACUCHO,2020-06-21,6
CAJAMARCA,2020-06-21,2
CALLAO,2020-06-21,9
HUANUCO,2020-06-21,8
ICA,2020-06-21,23
JUNIN,2020-06-21,1
LA LIBERTAD,2020-06-21,36
LAMBAYEQUE,2020-06-21,7
LIMA,2020-06-21,92
LORETO,2020-06-21,3
MADRE DE DIOS,2020-06-21,5
PASCO,2020-06-21,4
PIURA,2020-06-21,18
SAN MARTIN,2020-06-21,9
TUMBES,2020-06-21,4
UCAYALI,2020-06-21,2
AMAZONAS,2020-06-22,1
ANCASH,2020-06-22,13
AREQUIPA,2020-06-22,9
AYACUCHO,2020-06-22,1
CAJAMARCA,2020-06-22,6
CALLAO,2020-06-22,5
HUANUCO,2020-06-22,4
ICA,2020-06-22,20
JUNIN,2020-06-22,4
LA LIBERTAD,2020-06-22,41
LAMBAYEQUE,2020-06-22,9
LIMA,2020-06-22,99
LORETO,2020-06-22,3
MADRE DE DIOS,2020-06-22,4
PIURA,2020-06-22,21
PUNO,2020-06-22,1
SAN MARTIN,2020-06-22,15
TUMBES,2020-06-22,7
UCAYALI,2020-06-22,2
ANCASH,2020-06-23,9
AREQUIPA,2020-06-23,15
AYACUCHO,2020-06-23,1
CAJAMARCA,2020-06-23,4
CALLAO,2020-06-23,8
HUANCAVELICA,2020-06-23,1
HUANUCO,2020-06-23,3
ICA,2020-06-23,20
JUNIN,2020-06-23,4
LA LIBERTAD,2020-06-23,32
LAMBAYEQUE,2020-06-23,15
LIMA,2020-06-23,103
LORETO,2020-06-23,3
MADRE DE DIOS,2020-06-23,3
MOQUEGUA,2020-06-23,2
PASCO,2020-06-23,1
PIURA,2020-06-23,27
SAN MARTIN,2020-06-23,11
TACNA,2020-06-23,2
TUMBES,2020-06-23,2
UCAYALI,2020-06-23,3
AMAZONAS,2020-06-24,4
ANCASH,2020-06-24,8
APURIMAC,2020-06-24,1
AREQUIPA,2020-06-24,6
AYACUCHO,2020-06-24,1
CAJAMARCA,2020-06-24,5
CALLAO,2020-06-24,9
CUSCO,2020-06-24,1
HUANUCO,2020-06-24,5
ICA,2020-06-24,21
JUNIN,2020-06-24,4
LA LIBERTAD,2020-06-24,40
LAMBAYEQUE,2020-06-24,17
LIMA,2020-06-24,88
LORETO,2020-06-24,5
MADRE DE DIOS,2020-06-24,7
MOQUEGUA,2020-06-24,3
PIURA,2020-06-24,25
SAN MARTIN,2020-06-24,16
TUMBES,2020-06-24,1
AMAZONAS,2020-06-25,3
ANCASH,2020-06-25,8
AREQUIPA,2020-06-25,3
AYACUCHO,2020-06-25,1
CAJAMARCA,2020-06-25,1
CALLAO,2020-06-25,12
CUSCO,2020-06-25,3
HUANCAVELICA,2020-06-25,1
HUANUCO,2020-06-25,4
ICA,2020-06-25,23
JUNIN,2020-06-25,4
LA LIBERTAD,2020-06-25,36
LAMBAYEQUE,2020-06-25,10
LIMA,2020-06-25,102
MADRE DE DIOS,2020-06-25,1
PASCO,2020-06-25,1
PIURA,2020-06-25,20
PUNO,2020-06-25,2
SAN MARTIN,2020-06-25,16
TACNA,2020-06-25,1
TUMBES,2020-06-25,7
UCAYALI,2020-06-25,1
AMAZONAS,2020-06-26,6
ANCASH,2020-06-26,14
APURIMAC,2020-06-26,1
AREQUIPA,2020-06-26,13
AYACUCHO,2020-06-26,3
CAJAMARCA,2020-06-26,7
CALLAO,2020-06-26,12
CUSCO,2020-06-26,1
HUANUCO,2020-06-26,6
ICA,2020-06-26,16
JUNIN,2020-06-26,4
LA LIBERTAD,2020-06-26,20
LAMBAYEQUE,2020-06-26,13
LIMA,2020-06-26,117
LORETO,2020-06-26,5
MADRE DE DIOS,2020-06-26,4
PIURA,2020-06-26,14
SAN MARTIN,2020-06-26,19
TUMBES,2020-06-26,3
AMAZONAS,2020-06-27,5
ANCASH,2020-06-27,9
AREQUIPA,2020-06-27,5
AYACUCHO,2020-06-27,2
CAJAMARCA,2020-06-27,11
CALLAO,2020-06-27,15
CUSCO,2020-06-27,1
HUANUCO,2020-06-27,3
ICA,2020-06-27,14
JUNIN,2020-06-27,5
LA LIBERTAD,2020-06-27,37
LAMBAYEQUE,2020-06-27,13
LIMA,2020-06-27,101
LORETO,2020-06-27,2
MADRE DE DIOS,2020-06-27,1
MOQUEGUA,2020-06-27,2
PIURA,2020-06-27,23
PUNO,2020-06-27,1
SAN MARTIN,2020-06-27,16
TACNA,2020-06-27,1
TUMBES,2020-06-27,2
UCAYALI,2020-06-27,3
AMAZONAS,2020-06-28,5
ANCASH,2020-06-28,20
APURIMAC,2020-06-28,2
AREQUIPA,2020-06-28,15
AYACUCHO,2020-06-28,3
CAJAMARCA,2020-06-28,11
CALLAO,2020-06-28,8
CUSCO,2020-06-28,2
HUANUCO,2020-06-28,3
ICA,2020-06-28,18
JUNIN,2020-06-28,2
LA LIBERTAD,2020-06-28,36
LAMBAYEQUE,2020-06-28,10
LIMA,2020-06-28,111
LORETO,2020-06-28,3
MADRE DE DIOS,2020-06-28,3
PIURA,2020-06-28,16
SAN MARTIN,2020-06-28,17
TACNA,2020-06-28,1
UCAYALI,2020-06-28,3
AMAZONAS,2020-06-29,6
ANCASH,2020-06-29,13
APURIMAC,2020-06-29,1
AREQUIPA,2020-06-29,8
AYACUCHO,2020-06-29,2
CAJAMARCA,2020-06-29,10
CALLAO,2020-06-29,6
CUSCO,2020-06-29,1
HUANUCO,2020-06-29,10
ICA,2020-06-29,16
JUNIN,2020-06-29,3
LA LIBERTAD,2020-06-29,40
LAMBAYEQUE,2020-06-29,6
LIMA,2020-06-29,79
LORETO,2020-06-29,1
MADRE DE DIOS,2020-06-29,3
MOQUEGUA,2020-06-29,4
PASCO,2020-06-29,1
PIURA,2020-06-29,17
PUNO,2020-06-29,2
SAN MARTIN,2020-06-29,17
TUMBES,2020-06-29,1
AMAZONAS,2020-06-30,3
ANCASH,2020-06-30,11
AREQUIPA,2020-06-30,11
AYACUCHO,2020-06-30,2
CAJAMARCA,2020-06-30,9
CALLAO,2020-06-30,8
CUSCO,2020-06-30,1
HUANCAVELICA,2020-06-30,1
ICA,2020-06-30,18
JUNIN,2020-06-30,2
LA LIBERTAD,2020-06-30,42
LAMBAYEQUE,2020-06-30,4
LIMA,2020-06-30,101
LORETO,2020-06-30,1
MADRE DE DIOS,2020-06-30,4
MOQUEGUA,2020-06-30,2
PASCO,2020-06-30,3
PIURA,2020-06-30,16
PUNO,2020-06-30,1
SAN MARTIN,2020-06-30,12
TACNA,2020-06-30,2
TUMBES,2020-06-30,2
UCAYALI,2020-06-30,3
AMAZONAS,2020-07-01,2
ANCASH,2020-07-01,9
AREQUIPA,2020-07-01,16
AYACUCHO,2020-07-01,1
CAJAMARCA,2020-07-01,6
CALLAO,2020-07-01,10
HUANUCO,2020-07-01,5
ICA,2020-07-01,12
JUNIN,2020-07-01,6
LA LIBERTAD,2020-07-01,27
LAMBAYEQUE,2020-07-01,5
LIMA,2020-07-01,80
LORETO,2020-07-01,1
MADRE DE DIOS,2020-07-01,5
MOQUEGUA,2020-07-01,2
PIURA,2020-07-01,10
PUNO,2020-07-01,3
SAN MARTIN,2020-07-01,9
TUMBES,2020-07-01,2
UCAYALI,2020-07-01,1
AMAZONAS,2020-07-02,2
ANCASH,2020-07-02,8
APURIMAC,2020-07-02,1
AREQUIPA,2020-07-02,10
AYACUCHO,2020-07-02,1
CAJAMARCA,2020-07-02,10
CALLAO,2020-07-02,3
HUANCAVELICA,2020-07-02,1
HUANUCO,2020-07-02,3
ICA,2020-07-02,6
JUNIN,2020-07-02,4
LA LIBERTAD,2020-07-02,30
LAMBAYEQUE,2020-07-02,8
LIMA,2020-07-02,81
LORETO,2020-07-02,1
MADRE DE DIOS,2020-07-02,2
PIURA,2020-07-02,13
PUNO,2020-07-02,2
SAN MARTIN,2020-07-02,8
TACNA,2020-07-02,1
TUMBES,2020-07-02,2
UCAYALI,2020-07-02,1
AMAZONAS,2020-07-03,3
ANCASH,2020-07-03,8
AREQUIPA,2020-07-03,12
AYACUCHO,2020-07-03,3
CAJAMARCA,2020-07-03,8
CALLAO,2020-07-03,4
CUSCO,2020-07-03,1
HUANUCO,2020-07-03,3
ICA,2020-07-03,11
JUNIN,2020-07-03,6
LA LIBERTAD,2020-07-03,21
LAMBAYEQUE,2020-07-03,4
LIMA,2020-07-03,94
LORETO,2020-07-03,2
MADRE DE DIOS,2020-07-03,1
MOQUEGUA,2020-07-03,2
PASCO,2020-07-03,1
PIURA,2020-07-03,5
PUNO,2020-07-03,1
SAN MARTIN,2020-07-03,5
AMAZONAS,2020-07-04,3
ANCASH,2020-07-04,2
AREQUIPA,2020-07-04,7
AYACUCHO,2020-07-04,2
CAJAMARCA,2020-07-04,6
CALLAO,2020-07-04,8
CUSCO,2020-07-04,1
HUANCAVELICA,2020-07-04,2
HUANUCO,2020-07-04,5
ICA,2020-07-04,16
JUNIN,2020-07-04,6
LA LIBERTAD,2020-07-04,14
LIMA,2020-07-04,77
LORETO,2020-07-04,1
MOQUEGUA,2020-07-04,3
PIURA,2020-07-04,3
SAN MARTIN,2020-07-04,6
TACNA,2020-07-04,1
AMAZONAS,2020-07-05,3
ANCASH,2020-07-05,7
AREQUIPA,2020-07-05,14
AYACUCHO,2020-07-05,2
CAJAMARCA,2020-07-05,11
CALLAO,2020-07-05,6
CUSCO,2020-07-05,1
HUANCAVELICA,2020-07-05,1
HUANUCO,2020-07-05,3
ICA,2020-07-05,10
JUNIN,2020-07-05,5
LA LIBERTAD,2020-07-05,14
LAMBAYEQUE,2020-07-05,6
LIMA,2020-07-05,78
MADRE DE DIOS,2020-07-05,3
MOQUEGUA,2020-07-05,1
PASCO,2020-07-05,1
PIURA,2020-07-05,6
PUNO,2020-07-05,3
SAN MARTIN,2020-07-05,8
UCAYALI,2020-07-05,3
AMAZONAS,2020-07-06,5
ANCASH,2020-07-06,6
APURIMAC,2020-07-06,1
AREQUIPA,2020-07-06,10
AYACUCHO,2020-07-06,3
CAJAMARCA,2020-07-06,16
CALLAO,2020-07-06,9
HUANCAVELICA,2020-07-06,2
HUANUCO,2020-07-06,4
ICA,2020-07-06,12
JUNIN,2020-07-06,12
LA LIBERTAD,2020-07-06,17
LAMBAYEQUE,2020-07-06,2
LIMA,2020-07-06,55
LORETO,2020-07-06,2
MOQUEGUA,2020-07-06,3
PIURA,2020-07-06,3
PUNO,2020-07-06,1
SAN MARTIN,2020-07-06,4
AMAZONAS,2020-07-07,1
ANCASH,2020-07-07,9
AREQUIPA,2020-07-07,10
AYACUCHO,2020-07-07,4
CAJAMARCA,2020-07-07,7
CALLAO,2020-07-07,5
CUSCO,2020-07-07,1
HUANCAVELICA,2020-07-07,1
HUANUCO,2020-07-07,3
ICA,2020-07-07,15
JUNIN,2020-07-07,10
LA LIBERTAD,2020-07-07,18
LAMBAYEQUE,2020-07-07,2
LIMA,2020-07-07,67
LORETO,2020-07-07,1
MADRE DE DIOS,2020-07-07,2
MOQUEGUA,2020-07-07,2
PIURA,2020-07-07,1
PUNO,2020-07-07,1
SAN MARTIN,2020-07-07,9
TACNA,2020-07-07,1
UCAYALI,2020-07-07,1
ANCASH,2020-07-08,5
APURIMAC,2020-07-08,1
AREQUIPA,2020-07-08,13
AYACUCHO,2020-07-08,1
CAJAMARCA,2020-07-08,11
CALLAO,2020-07-08,10
HUANCAVELICA,2020-07-08,3
HUANUCO,2020-07-08,2
ICA,2020-07-08,8
JUNIN,2020-07-08,2
LA LIBERTAD,2020-07-08,13
LAMBAYEQUE,2020-07-08,3
LIMA,2020-07-08,96
LORETO,2020-07-08,1
MADRE DE DIOS,2020-07-08,1
MOQUEGUA,2020-07-08,4
PIURA,2020-07-08,11
PUNO,2020-07-08,2
SAN MARTIN,2020-07-08,15
TACNA,2020-07-08,1
UCAYALI,2020-07-08,1
AMAZONAS,2020-07-09,2
ANCASH,2020-07-09,2
AREQUIPA,2020-07-09,12
AYACUCHO,2020-07-09,3
CAJAMARCA,2020-07-09,4
CALLAO,2020-07-09,9
CUSCO,2020-07-09,1
HUANCAVELICA,2020-07-09,2
HUANUCO,2020-07-09,2
ICA,2020-07-09,12
JUNIN,2020-07-09,7
LA LIBERTAD,2020-07-09,7
LAMBAYEQUE,2020-07-09,4
LIMA,2020-07-09,88
LORETO,2020-07-09,1
MADRE DE DIOS,2020-07-09,2
MOQUEGUA,2020-07-09,2
PIURA,2020-07-09,7
PUNO,2020-07-09,1
SAN MARTIN,2020-07-09,5
TACNA,2020-07-09,2
AMAZONAS,2020-07-10,6
ANCASH,2020-07-10,7
APURIMAC,2020-07-10,1
AREQUIPA,2020-07-10,22
AYACUCHO,2020-07-10,1
CAJAMARCA,2020-07-10,4
CALLAO,2020-07-10,5
HUANUCO,2020-07-10,3
ICA,2020-07-10,14
JUNIN,2020-07-10,6
LA LIBERTAD,2020-07-10,14
LAMBAYEQUE,2020-07-10,9
LIMA,2020-07-10,87
LORETO,2020-07-10,3
MOQUEGUA,2020-07-10,2
PIURA,2020-07-10,2
SAN MARTIN,2020-07-10,5
TACNA,2020-07-10,1
UCAYALI,2020-07-10,1
AMAZONAS,2020-07-11,3
ANCASH,2020-07-11,8
AREQUIPA,2020-07-11,16
AYACUCHO,2020-07-11,5
CAJAMARCA,2020-07-11,4
CALLAO,2020-07-11,8
CUSCO,2020-07-11,2
HUANUCO,2020-07-11,2
ICA,2020-07-11,16
JUNIN,2020-07-11,9
LA LIBERTAD,2020-07-11,14
LAMBAYEQUE,2020-07-11,5
LIMA,2020-07-11,83
LORETO,2020-07-11,1
MADRE DE DIOS,2020-07-11,1
MOQUEGUA,2020-07-11,3
PASCO,2020-07-11,3
PIURA,2020-07-11,10
PUNO,2020-07-11,1
SAN MARTIN,2020-07-11,7
TACNA,2020-07-11,3
AMAZONAS,2020-07-12,1
ANCASH,2020-07-12,6
AREQUIPA,2020-07-12,21
AYACUCHO,2020-07-12,7
CAJAMARCA,2020-07-12,2
CALLAO,2020-07-12,7
CUSCO,2020-07-12,1
HUANUCO,2020-07-12,9
ICA,2020-07-12,13
JUNIN,2020-07-12,8
LA LIBERTAD,2020-07-12,15
LAMBAYEQUE,2020-07-12,1
LIMA,2020-07-12,81
LORETO,2020-07-12,1
MADRE DE DIOS,2020-07-12,1
MOQUEGUA,2020-07-12,1
PASCO,2020-07-12,1
PIURA,2020-07-12,6
PUNO,2020-07-12,1
SAN MARTIN,2020-07-12,10
TACNA,2020-07-12,1
UCAYALI,2020-07-12,4
AMAZONAS,2020-07-13,3
ANCASH,2020-07-13,6
AREQUIPA,2020-07-13,22
AYACUCHO,2020-07-13,2
CALLAO,2020-07-13,3
HUANUCO,2020-07-13,6
ICA,2020-07-13,10
JUNIN,2020-07-13,8
LA LIBERTAD,2020-07-13,23
LAMBAYEQUE,2020-07-13,4
LIMA,2020-07-13,73
LORETO,2020-07-13,1
MOQUEGUA,2020-07-13,4
PASCO,2020-07-13,1
PIURA,2020-07-13,6
SAN MARTIN,2020-07-13,5
TACNA,2020-07-13,7
UCAYALI,2020-07-13,3
AMAZONAS,2020-07-14,1
ANCASH,2020-07-14,4
AREQUIPA,2020-07-14,25
AYACUCHO,2020-07-14,5
CAJAMARCA,2020-07-14,3
CALLAO,2020-07-14,10
CUSCO,2020-07-14,2
HUANUCO,2020-07-14,5
ICA,2020-07-14,14
JUNIN,2020-07-14,12
LA LIBERTAD,2020-07-14,16
LAMBAYEQUE,2020-07-14,2
LIMA,2020-07-14,79
LORETO,2020-07-14,2
MADRE DE DIOS,2020-07-14,1
MOQUEGUA,2020-07-14,8
PASCO,2020-07-14,2
PIURA,2020-07-14,2
SAN MARTIN,2020-07-14,7
TACNA,2020-07-14,1
TUMBES,2020-07-14,2
AMAZONAS,2020-07-15,4
ANCASH,2020-07-15,10
APURIMAC,2020-07-15,2
AREQUIPA,2020-07-15,21
AYACUCHO,2020-07-15,4
CAJAMARCA,2020-07-15,1
CALLAO,2020-07-15,13
CUSCO,2020-07-15,1
HUANUCO,2020-07-15,5
ICA,2020-07-15,8
JUNIN,2020-07-15,8
LA LIBERTAD,2020-07-15,14
LAMBAYEQUE,2020-07-15,3
LIMA,2020-07-15,93
LORETO,2020-07-15,2
MOQUEGUA,2020-07-15,5
PASCO,2020-07-15,1
PIURA,2020-07-15,7
PUNO,2020-07-15,2
SAN MARTIN,2020-07-15,2
TACNA,2020-07-15,1
UCAYALI,2020-07-15,3
ANCASH,2020-07-16,7
AREQUIPA,2020-07-16,13
AYACUCHO,2020-07-16,8
CAJAMARCA,2020-07-16,5
CALLAO,2020-07-16,7
CUSCO,2020-07-16,5
HUANCAVELICA,2020-07-16,2
HUANUCO,2020-07-16,5
ICA,2020-07-16,10
JUNIN,2020-07-16,11
LA LIBERTAD,2020-07-16,13
LAMBAYEQUE,2020-07-16,5
LIMA,2020-07-16,83
MADRE DE DIOS,2020-07-16,1
MOQUEGUA,2020-07-16,5
PASCO,2020-07-16,1
PIURA,2020-07-16,7
PUNO,2020-07-16,2
SAN MARTIN,2020-07-16,5
TACNA,2020-07-16,3
UCAYALI,2020-07-16,2
ANCASH,2020-07-17,9
AREQUIPA,2020-07-17,26
AYACUCHO,2020-07-17,1
CAJAMARCA,2020-07-17,2
CALLAO,2020-07-17,9
CUSCO,2020-07-17,2
HUANCAVELICA,2020-07-17,1
HUANUCO,2020-07-17,3
ICA,2020-07-17,11
JUNIN,2020-07-17,14
LA LIBERTAD,2020-07-17,12
LAMBAYEQUE,2020-07-17,4
LIMA,2020-07-17,93
LORETO,2020-07-17,2
MADRE DE DIOS,2020-07-17,1
MOQUEGUA,2020-07-17,2
PASCO,2020-07-17,1
PIURA,2020-07-17,1
PUNO,2020-07-17,2
SAN MARTIN,2020-07-17,3
TACNA,2020-07-17,1
TUMBES,2020-07-17,2
UCAYALI,2020-07-17,1
AMAZONAS,2020-07-18,2
ANCASH,2020-07-18,9
APURIMAC,2020-07-18,2
AREQUIPA,2020-07-18,21
AYACUCHO,2020-07-18,4
CAJAMARCA,2020-07-18,2
CALLAO,2020-07-18,6
CUSCO,2020-07-18,4
HUANUCO,2020-07-18,4
ICA,2020-07-18,7
JUNIN,2020-07-18,11
LA LIBERTAD,2020-07-18,10
LAMBAYEQUE,2020-07-18,2
LIMA,2020-07-18,85
LORETO,2020-07-18,1
MOQUEGUA,2020-07-18,5
PASCO,2020-07-18,2
PIURA,2020-07-18,6
PUNO,2020-07-18,5
SAN MARTIN,2020-07-18,6
TACNA,2020-07-18,1
TUMBES,2020-07-18,1
UCAYALI,2020-07-18,1
AMAZONAS,2020-07-19,4
ANCASH,2020-07-19,10
AREQUIPA,2020-07-19,15
AYACUCHO,2020-07-19,4
CAJAMARCA,2020-07-19,4
CALLAO,2020-07-19,9
CUSCO,2020-07-19,1
HUANCAVELICA,2020-07-19,1
HUANUCO,2020-07-19,2
ICA,2020-07-19,9
JUNIN,2020-07-19,4
LA LIBERTAD,2020-07-19,14
LAMBAYEQUE,2020-07-19,9
LIMA,2020-07-19,87
MADRE DE DIOS,2020-07-19,1
MOQUEGUA,2020-07-19,12
PIURA,2020-07-19,6
PUNO,2020-07-19,1
SAN MARTIN,2020-07-19,5
TACNA,2020-07-19,1
UCAYALI,2020-07-19,1
AMAZONAS,2020-07-20,2
ANCASH,2020-07-20,3
APURIMAC,2020-07-20,1
AREQUIPA,2020-07-20,15
AYACUCHO,2020-07-20,5
CAJAMARCA,2020-07-20,2
CALLAO,2020-07-20,3
CUSCO,2020-07-20,5
HUANUCO,2020-07-20,3
ICA,2020-07-20,10
JUNIN,2020-07-20,6
LA LIBERTAD,2020-07-20,7
LAMBAYEQUE,2020-07-20,1
LIMA,2020-07-20,78
LORETO,2020-07-20,2
MOQUEGUA,2020-07-20,11
PASCO,2020-07-20,1
PIURA,2020-07-20,6
PUNO,2020-07-20,1
SAN MARTIN,2020-07-20,9
TACNA,2020-07-20,1
TUMBES,2020-07-20,1
AMAZONAS,2020-07-21,1
ANCASH,2020-07-21,5
APURIMAC,2020-07-21,1
AREQUIPA,2020-07-21,16
AYACUCHO,2020-07-21,6
CAJAMARCA,2020-07-21,1
CALLAO,2020-07-21,4
CUSCO,2020-07-21,2
HUANCAVELICA,2020-07-21,2
HUANUCO,2020-07-21,5
ICA,2020-07-21,9
JUNIN,2020-07-21,7
LA LIBERTAD,2020-07-21,12
LAMBAYEQUE,2020-07-21,4
LIMA,2020-07-21,74
MADRE DE DIOS,2020-07-21,1
MOQUEGUA,2020-07-21,5
PIURA,2020-07-21,6
PUNO,2020-07-21,1
SAN MARTIN,2020-07-21,7
UCAYALI,2020-07-21,2
AMAZONAS,2020-07-22,3
ANCASH,2020-07-22,7
APURIMAC,2020-07-22,2
AREQUIPA,2020-07-22,27
AYACUCHO,2020-07-22,5
CAJAMARCA,2020-07-22,2
CALLAO,2020-07-22,9
CUSCO,2020-07-22,10
HUANUCO,2020-07-22,2
ICA,2020-07-22,7
JUNIN,2020-07-22,11
LA LIBERTAD,2020-07-22,17
LAMBAYEQUE,2020-07-22,2
LIMA,2020-07-22,86
LORETO,2020-07-22,1
MOQUEGUA,2020-07-22,4
PIURA,2020-07-22,6
PUNO,2020-07-22,1
SAN MARTIN,2020-07-22,7
TACNA,2020-07-22,3
TUMBES,2020-07-22,1
AMAZONAS,2020-07-23,2
ANCASH,2020-07-23,6
AREQUIPA,2020-07-23,21
AYACUCHO,2020-07-23,8
CAJAMARCA,2020-07-23,3
CALLAO,2020-07-23,11
CUSCO,2020-07-23,1
HUANCAVELICA,2020-07-23,2
HUANUCO,2020-07-23,5
ICA,2020-07-23,10
JUNIN,2020-07-23,9
LA LIBERTAD,2020-07-23,14
LAMBAYEQUE,2020-07-23,4
LIMA,2020-07-23,82
MADRE DE DIOS,2020-07-23,2
MOQUEGUA,2020-07-23,2
PASCO,2020-07-23,1
PIURA,2020-07-23,7
PUNO,2020-07-23,2
SAN MARTIN,2020-07-23,7
TACNA,2020-07-23,2
AMAZONAS,2020-07-24,2
ANCASH,2020-07-24,11
APURIMAC,2020-07-24,1
AREQUIPA,2020-07-24,15
AYACUCHO,2020-07-24,8
CAJAMARCA,2020-07-24,5
CALLAO,2020-07-24,6
CUSCO,2020-07-24,1
HUANUCO,2020-07-24,3
ICA,2020-07-24,6
JUNIN,2020-07-24,12
LA LIBERTAD,2020-07-24,14
LIMA,2020-07-24,81
LORETO,2020-07-24,2
MOQUEGUA,2020-07-24,2
PIURA,2020-07-24,5
PUNO,2020-07-24,3
SAN MARTIN,2020-07-24,1
TACNA,2020-07-24,2
UCAYALI,2020-07-24,2
AMAZONAS,2020-07-25,4
ANCASH,2020-07-25,8
APURIMAC,2020-07-25,3
AREQUIPA,2020-07-25,18
AYACUCHO,2020-07-25,3
CAJAMARCA,2020-07-25,8
CALLAO,2020-07-25,1
CUSCO,2020-07-25,4
HUANCAVELICA,2020-07-25,3
HUANUCO,2020-07-25,4
ICA,2020-07-25,5
JUNIN,2020-07-25,7
LA LIBERTAD,2020-07-25,8
LAMBAYEQUE,2020-07-25,3
LIMA,2020-07-25,76
PASCO,2020-07-25,2
PIURA,2020-07-25,4
PUNO,2020-07-25,4
TUMBES,2020-07-25,1
AMAZONAS,2020-07-26,2
ANCASH,2020-07-26,3
APURIMAC,2020-07-26,1
AREQUIPA,2020-07-26,14
AYACUCHO,2020-07-26,7
CAJAMARCA,2020-07-26,4
CUSCO,2020-07-26,2
HUANCAVELICA,2020-07-26,1
HUANUCO,2020-07-26,2
ICA,2020-07-26,6
JUNIN,2020-07-26,5
LA LIBERTAD,2020-07-26,10
LAMBAYEQUE,2020-07-26,3
LIMA,2020-07-26,68
MOQUEGUA,2020-07-26,1
PASCO,2020-07-26,1
PIURA,2020-07-26,5
PUNO,2020-07-26,6
SAN MARTIN,2020-07-26,2
UCAYALI,2020-07-26,1
AMAZONAS,2020-07-27,1
ANCASH,2020-07-27,3
AREQUIPA,2020-07-27,15
AYACUCHO,2020-07-27,8
CAJAMARCA,2020-07-27,3
CUSCO,2020-07-27,2
HUANUCO,2020-07-27,1
ICA,2020-07-27,11
JUNIN,2020-07-27,6
LA LIBERTAD,2020-07-27,11
LAMBAYEQUE,2020-07-27,4
LIMA,2020-07-27,66
MOQUEGUA,2020-07-27,2
PASCO,2020-07-27,1
PIURA,2020-07-27,3
PUNO,2020-07-27,2
SAN MARTIN,2020-07-27,1
TACNA,2020-07-27,1
UCAYALI,2020-07-27,2
ANCASH,2020-07-28,5
APURIMAC,2020-07-28,1
AREQUIPA,2020-07-28,7
AYACUCHO,2020-07-28,1
CAJAMARCA,2020-07-28,2
CUSCO,2020-07-28,5
ICA,2020-07-28,7
JUNIN,2020-07-28,12
LA LIBERTAD,2020-07-28,7
LAMBAYEQUE,2020-07-28,4
LIMA,2020-07-28,87
LORETO,2020-07-28,1
MADRE DE DIOS,2020-07-28,1
MOQUEGUA,2020-07-28,1
PIURA,2020-07-28,2
PUNO,2020-07-28,2
SAN MARTIN,2020-07-28,1
AMAZONAS,2020-07-29,1
ANCASH,2020-07-29,7
APURIMAC,2020-07-29,1
AREQUIPA,2020-07-29,8
AYACUCHO,2020-07-29,4
CAJAMARCA,2020-07-29,2
CUSCO,2020-07-29,2
HUANCAVELICA,2020-07-29,1
HUANUCO,2020-07-29,2
ICA,2020-07-29,10
JUNIN,2020-07-29,6
LA LIBERTAD,2020-07-29,4
LAMBAYEQUE,2020-07-29,1
LIMA,2020-07-29,79
MOQUEGUA,2020-07-29,2
PASCO,2020-07-29,3
PIURA,2020-07-29,3
SAN MARTIN,2020-07-29,3
TACNA,2020-07-29,3
TUMBES,2020-07-29,2
UCAYALI,2020-07-29,2
AMAZONAS,2020-07-30,1
ANCASH,2020-07-30,7
APURIMAC,2020-07-30,1
AREQUIPA,2020-07-30,15
AYACUCHO,2020-07-30,7
CAJAMARCA,2020-07-30,2
CUSCO,2020-07-30,6
HUANUCO,2020-07-30,2
ICA,2020-07-30,7
JUNIN,2020-07-30,8
LA LIBERTAD,2020-07-30,10
LAMBAYEQUE,2020-07-30,3
LIMA,2020-07-30,71
LORETO,2020-07-30,1
MADRE DE DIOS,2020-07-30,3
MOQUEGUA,2020-07-30,2
PASCO,2020-07-30,2
PIURA,2020-07-30,5
PUNO,2020-07-30,1
SAN MARTIN,2020-07-30,6
TACNA,2020-07-30,2
TUMBES,2020-07-30,3
AMAZONAS,2020-07-31,2
ANCASH,2020-07-31,2
APURIMAC,2020-07-31,1
AREQUIPA,2020-07-31,14
AYACUCHO,2020-07-31,5
