Department,Date,Active Cases
PIURA,2020-04-03,2
SAN MARTIN,2020-04-03,3
TUMBES,2020-04-03,6
UCAYALI,2020-04-03,1
ANCASH,2020-04-04,9
AREQUIPA,2020-04-04,14
AYACUCHO,2020-04-04,2
CALLAO,2020-04-04,174
CUSCO,2020-04-04,11
ICA,2020-04-04,5
LA LIBERTAD,2020-04-04,1
LAMBAYEQUE,2020-04-04,49
LIMA,2020-04-04,501
LORETO,2020-04-04,40
MOQUEGUA,2020-04-04,1
PASCO,2020-04-04,1
PIURA,2020-04-04,5
TACNA,2020-04-04,6
TUMBES,2020-04-04,10
UCAYALI,2020-04-04,6
AMAZONAS,2020-04-05,4
ANCASH,2020-04-05,7
AREQUIPA,2020-04-05,9
AYACUCHO,2020-04-05,2
CALLAO,2020-04-05,48
CUSCO,2020-04-05,2
HUANCAVELICA,2020-04-05,1
HUANUCO,2020-04-05,1
ICA,2020-04-05,4
JUNIN,2020-04-05,4
LA LIBERTAD,2020-04-05,7
LAMBAYEQUE,2020-04-05,8
LIMA,2020-04-05,313
LORETO,2020-04-05,31
PASCO,2020-04-05,2
PIURA,2020-04-05,1
AMAZONAS,2020-04-06,1
ANCASH,2020-04-06,13
AREQUIPA,2020-04-06,7
CALLAO,2020-04-06,66
CUSCO,2020-04-06,1
HUANCAVELICA,2020-04-06,5
HUANUCO,2020-04-06,3
ICA,2020-04-06,7
LA LIBERTAD,2020-04-06,4
LAMBAYEQUE,2020-04-06,28
LIMA,2020-04-06,485
LORETO,2020-04-06,10
MOQUEGUA,2020-04-06,1
PIURA,2020-04-06,8
PUNO,2020-04-06,1
TUMBES,2020-04-06,5
UCAYALI,2020-04-06,5
AMAZONAS,2020-04-07,4
ANCASH,2020-04-07,26
AREQUIPA,2020-04-07,4
CAJAMARCA,2020-04-07,3
CALLAO,2020-04-07,51
HUANCAVELICA,2020-04-07,1
HUANUCO,2020-04-07,2
ICA,2020-04-07,9
JUNIN,2020-04-07,13
LA LIBERTAD,2020-04-07,22
LAMBAYEQUE,2020-04-07,156
LIMA,2020-04-07,632
LORETO,2020-04-07,100
PIURA,2020-04-07,11
SAN MARTIN,2020-04-07,3
TACNA,2020-04-07,1
TUMBES,2020-04-07,4
UCAYALI,2020-04-07,1
AMAZONAS,2020-04-08,5
ANCASH,2020-04-08,10
AREQUIPA,2020-04-08,5
AYACUCHO,2020-04-08,3
CAJAMARCA,2020-04-08,3
CALLAO,2020-04-08,127
CUSCO,2020-04-08,3
HUANUCO,2020-04-08,5
ICA,2020-04-08,9
JUNIN,2020-04-08,2
LA LIBERTAD,2020-04-08,22
LAMBAYEQUE,2020-04-08,75
LIMA,2020-04-08,696
LORETO,2020-04-08,68
MADRE DE DIOS,2020-04-08,3
MOQUEGUA,2020-04-08,1
PIURA,2020-04-08,21
SAN MARTIN,2020-04-08,4
TUMBES,2020-04-08,22
AMAZONAS,2020-04-09,5
ANCASH,2020-04-09,12
APURIMAC,2020-04-09,3
AREQUIPA,2020-04-09,6
AYACUCHO,2020-04-09,2
CAJAMARCA,2020-04-09,6
CALLAO,2020-04-09,48
CUSCO,2020-04-09,2
